"","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"1","(Intercept)",28753.9828123906,0.0455194814836633,62.2242712812471,2.39209656383006e-278,24038.6658570425,34390.4034493205
"2","si",29.6090043446278,0.0537933369127458,2.41063381051341,0.0161971125678804,4.96807471149006,60.0343157038675
"3","tmp",54.0453744882331,0.0539296385566624,4.00593276837785,6.8800252552905e-05,24.6920253562149,90.3087012455622
"4","ph",-33.8201650668869,0.0632553428031306,-3.26292103888773,0.00115954375903482,-48.3536553856591,-15.1968917746418
"5","mnfe",-44.4717364388298,0.0547215855906337,-5.37519184757924,1.06234802430194e-07,-55.1919652422123,-31.186715266889
"6","si:tmp",12.3162384130596,0.0571910596875646,1.01544073891016,0.310267816221434,-10.2405229779821,40.5415654122496
"7","si:ph",24.1933484446542,0.0571937315670228,1.89417110009014,0.0586391802614673,-0.749763261045455,55.4050479341734
"8","tmp:ph",-40.9425263973317,0.0572344614741105,-4.60089143686128,5.04495048060254e-06,-52.8112209526412,-26.088674919317
"9","si:mnfe",3.30416856395943,0.0571850025546234,0.284231370377225,0.776322210844368,-17.4407152462725,29.2616726819344
"10","tmp:mnfe",-2.52510117523417,0.0571904548809087,-0.223597531564308,0.82313966395285,-22.1010531713973,21.9702741527906
"11","ph:mnfe",-13.3681092392074,0.0575106905608622,-1.24761312392623,0.212615177017638,-30.8533067564216,8.53858868351423
"12","si:tmp:ph",-8.51843481523696,0.057190882434938,-0.778382004307765,0.436622757755289,-26.8908639610533,14.4710117241132
"13","si:tmp:mnfe",2.44157459696264,0.0571908381688299,0.210894322558179,0.833034819981776,-18.1319613663132,28.1852647387953
"14","si:ph:mnfe",-14.2798867918539,0.0571850365831044,-1.34722913472308,0.178368713841453,-31.4936619706941,7.25924082052178
"15","tmp:ph:mnfe",-17.7205090540641,0.0571910726843619,-1.7052338670889,0.088621290204605,-34.2449159174492,2.95652001331499
"16","si:tmp:ph:mnfe",-24.5988631474404,0.0571909506532228,-2.46846599193384,0.0138216294475932,-39.7418432182845,-5.65042572985656
